이름,성별,생년월일,우편번호,주소,나이,휴대폰번호,가입일자,가입기간,수신총잔액 ,신용대출한도 ,신용등급,담보대출한도 ,년간환전액
로헨리지오,F,19801217,100002,경기 파주시 야당동,40,010-8704-8249,2002-06-19,16,124609,71800000,3,143600000,0
표연차,F,19760519,022157,경기 성남시 구미동,44,010-5544-7944,2003-02-06,15,20725071,226200000,3,452400000,0
장락훈,F,19830116,003292,서울 동대문구 이문동,37,010-3709-0935,2004-10-07,13,9887452,284300000,2,568600000,0
낭섭종,F,19480709,033298,경북 영천시 북안면,72,010-5342-7064,2004-01-28,14,169001,4000000,9,8000000,0
점다보라,F,19450816,048686,경기 고양시 풍동 ,75,010-5245-1458,2006-01-23,12,5167260,124700000,5,249400000,0
탄곤휘,F,19871114,042650,제주 제주시 일도동,33,010-8012-1602,2001-08-27,16,997341,216000000,2,432000000,0
엽작산,F,19510819,015233,광주 북구 용봉동,69,010-7260-0935,2005-02-16,13,8804197,3900000,6,7800000,0
화오엽,M,19540603,015122,광주 북구 매곡동,66,010-4232-8083,2006-07-12,11,434919,7600000,6,15200000,0
독고설연,M,19570530,019877,경기 고양시 성사동,63,010-1001-4046,2005-01-28,13,773514,446100000,2,892200000,0
남궁위츠,F,19600818,002479,서울 노원구 공릉1동,60,010-4138-0357,2005-10-28,12,617512,72000000,3,144000000,0
고잔훈원,M,19720407,003151,서울 도봉구 창4동,48,010-9114-2918,2003-07-21,14,9047294,31000000,7,62000000,0
민재결,M,19460328,003744,서울 마포구 공덕동,74,010-1365-5378,2005-10-23,12,996718,514200000,3,1028400000,0
삼룩히,M,19700725,003915,서울 마포구 공덕동,50,010-4741-2044,2002-07-22,15,841094732,7000000,3,14000000,0
남우리애,F,19410606,020332,경기 고양시 풍동,79,010-5926-3783,2005-09-27,12,46001,14900000,4,29800000,0
감삼한결,M,19480502,022418,경기 성남시 신흥1동,72,010-3072-2590,2003-09-06,14,93486448,109100000,3,218200000,0
낭코넌,M,19531214,020326,경기 고양시 탄현동,67,010-6721-6493,2003-08-08,14,461448,4800000,8,9600000,0
천실행,F,19460821,048580,경기 고양시 마두동,74,010-3072-1327,2004-04-22,14,9798413,293200000,3,586400000,0
천요틴,M,19370226,010337,부산 해운대구 반여동,83,010-5750-7242,2003-02-03,15,815200,54000000,7,108000000,0
감희봄,M,19440829,012435,대구 수성구 범어4동,76,010-7860-2043,2003-01-23,15,1368762,12900000,6,25800000,0
관폴도현,M,19540620,005712,서울 영등포구 신길4동,66,010-8994-4239,2003-08-04,14,26674225,20300000,5,40600000,0
황목차욱,F,19641028,010972,대구 달서구 본동,56,010-6871-7078,2004-06-13,14,361500,279400000,2,558800000,0
화택찬,M,19720717,020132,경기 고양시 백석동,48,010-8079-0237,2009-03-19,9,6348963,26100000,4,52200000,0
교용관,M,19580304,002320,서울 구로구 오류2동,62,010-5742-3951,2007-08-19,10,1873968,259000000,4,518000000,0
완힘찬이,M,19580421,019959,경기 고양시 화전동,62,010-3287-0432,2006-07-29,11,849461569,2600000,4,5200000,0
기로이스김,F,19690720,025388,경기 이천시 창전동,51,010-5204-3195,2004-12-20,13,5241289,11900000,6,23800000,0
송준아,F,19661112,006499,서울 은평구 증산동,54,010-7796-4683,2002-05-20,16,277350,41200000,3,82400000,0
은즐리아,M,19571007,004679,서울 성동구 행당동,63,010-6902-0255,2005-11-13,12,677372,15400000,8,30800000,0
뢰애비희원,F,19700111,003951,서울 마포구 중동,50,010-1424-8974,2005-10-31,12,735129,185500000,2,371000000,0
간한윤,F,19841122,020059,경기 고양시 덕이동,36,010-4574-4242,2005-03-13,13,17924025,40800000,3,81600000,0
증금이,F,19530511,006302,서울 은평구 갈현동,67,010-4213-0062,2008-03-03,10,22639669,20900000,4,41800000,0
필사랑쯔이,M,19790507,021241,경기 김포시 하성면,41,010-2854-7374,2005-02-17,13,26327094,80600000,4,161200000,0
보리나다빈,F,19730520,006295,서울 은평구 갈현2동,47,010-1512-5367,2002-08-19,15,7642775,793100000,1,1586200000,176200000
